"Area","Menu","Page","URL","Type","Cards","Table Columns","Inputs","View / Detail","Actions","Notes"
"Operasional","Kebutuhan Barang","Kebutuhan Barang","/need-for-goods","List","—","#, Kode, Tanggal, Sales / Customer / Produk / Brand, Pembuat, Status, # | #, Nama Barang, Kebutuhan Qty, Stok, Selisih, Qty Order, Catatan, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga, Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga | Tanggal, No. Pembelian, Supplier, Qty, Harga","Catatan, Qty Order","[Detail Kebutuhan Barang] • Field: Kode, Sales, Customer, Produk, Brand, Status, Tanggal, Pembuat, Diselesaikan oleh, Tanggal Penyelesaian • Tabel Detail: (#, Barang, Catatan, Qty, Stok, Selisih) • Aksi Modal: Process, Tutup","Riwayat, Buat, Process, Lihat, Ubah, Selesaikan, Hide, Modal Tutup",""""""
"Operasional","Kebutuhan Barang","Buat Kebutuhan Barang","/need-for-goods/create","Form","—","#, Kode Bahan, Nama Bahan, Konsentrasi (%), Qty Dibutuhkan","Sales Pilih sales order (opsional), Produk Pilih produk dari sales (opsional), Customer Info customer, Tanggal * Tanggal kebutuhan, Isi Netto (ml/gr) * Kapasitas produk, Qty Produksi (pcs) * Jumlah produksi, Catatan Keterangan (opsional), Qty Produk * Jumlah produk yang akan dibuat, Barang * Nama barang, Qty * Jumlah","—","Tambahkan ke Keranjang, Tambah ke Keranjang, Batal, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Operasional","Leads","Leads","/leads","List","—","#, Tanggal Leads, Catatan, Total Qty Leads, Aksi","Search, GSTable1_length","—","Buat",""""""
"Operasional","Leads","Buat Leads","/leads/create","Form","—","Penerima Leads *, Qty Leads *, Aksi","Tanggal Leads *, Catatan","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Operasional","Pembelian","DP Pembelian","/purchase-down-payment","List","Total Bayar Pembelian Hari Ini, Total DP Pembelian Terkait, DP Belum Diapply","DP No, Vendor, Date, Amount, Applied To (No Invoice kalau sudah dipakai), Remaining Balance, Status, #","Navbar tabs selaras card: Bayar Pembelian | DP Pembelian, Search, Filter Vendor","[Detail DP Pembelian] Data DP, Rekening Bank Sumber, Invoice Terkait yang telah dioffset • Jurnal: Dr AP Prepayment, Cr Bank/Cash","+ Buat, Lihat, Apply to Invoice, Cancel (Draft)","Saat Faktur Pembelian dibuat untuk vendor dengan DP outstanding, sistem notifikasi untuk potong/apply DP ke invoice | Poin 9: Urutan card & tab selaras dengan Bayar Pembelian lalu DP Pembelian"
"Operasional","Pembelian","Buat DP Pembelian","/purchase-down-payment/create","Form","—","#, Barang, Qty, Harga, Total","Vendor* (search-select), Date*, Amount*, Bank Account* (sumber dana search-select), Note","—","Kembali, Simpan","Nomor DP otomatis DPB-YYMM-XXXX"
"Operasional","Pembelian","Faktur Pembelian","/purchase-invoice","List","Bayar Pembelian (Total Due), DP Pembelian (Outstanding Advance), Overdue Invoices, Awaiting Approval","Invoice No, Vendor, Invoice Date (Custom), Deadline (Jatuh Tempo), Amount, Diskon (Rp), Outstanding, Status, Notes (Alasan Belum Dibayar - wajib tampil saat belum lunas), #","Navbar tabs: Semua Tagihan | Sudah Dibayar | Belum Dibayar, Filter Periode Date Range Custom, Search Detail","[Detail Faktur Pembelian] Rincian Barang yang Dibeli, Unit Price, Diskon (Rp), Pajak, Notes Alasan Belum Dibayar • 3-Way Match Accuracy disembunyikan (hide) dari UI • Jurnal GL Otomatis","+ Buat, Import Data Faktur (Excel), Filter, Lihat, Edit (Draft), Modal Setuju, Modal Tolak","Matching Engine 4-Leg: PO ↔ GRN ↔ QC Passed Qty ↔ Vendor Invoice. Toleransi otomatis. Reject QC auto generate Debit Note/Pending Retur AP. Persentase akurasi di-hide dari UI (hanya status Matched/Exception) | Poin 4-9: Tanggal invoice custom (tidak read-only). Import data faktur. Detail barang + diskon. Navbar Semua/Sudah/Belum Dibayar + Notes alasan belum dibayar. Hide akurasi matching. Pola card Bayar Pembelian lalu DP Pembelian. Label jatuh tempo -> Deadline. Fitur pencocokan selisih nominal dinonaktifkan"
"Operasional","Pembelian","Bayar Pembelian","/purchase-payment","List","Total Bayar Pembelian Hari Ini, Total DP Pembelian Terkait, Total Selected Batch","Checklist, Vendor, Invoice Ref, Due Date, Amount, Bank Account Tujuan, #","Navbar tabs selaras card: Bayar Pembelian | DP Pembelian, Filter Periode Date Range Custom","[Detail Pembayaran] Bukti Transfer, Daftar Invoice yang Dibayar, Selisih Diskon/Pembulatan • Jurnal: Dr AP Control, Cr Bank/Cash","+ Buat Pembayaran Tunggal / Batch, Filter, Eksekusi Bayar, Print Bukti Kas Keluar","Konsistensi posisi card & navbar disamakan dengan DP Pembelian. Mendukung partial payment. Auto update status invoice jadi Paid/Partial | Poin 9: Pola card ringkasan di atas + navbar/tab filter di bawahnya dengan urutan selaras: Bayar Pembelian lalu DP Pembelian (referensi Work Orders)"
"Operasional","Pembelian","Retur Pembelian","/purchase-return","List","—","#, Tanggal, Kode Retur, Pembelian Masuk, Supplier, Total, Status, #","Search, GSTable1_length","[Detail Retur Pembelian] • Field: Kode, Status, Supplier, Gudang, Pembuat, Tanggal, Kode GR, Kode PO, Total Item, Total Jumlah • Tabel Detail: (#, Barang, Qty Retur, Harga, Total, Catatan) • Aksi Modal: Tutup","Riwayat, Buat, Modal Tutup",""""""
"Operasional","Pembelian","Buat Retur Pembelian","/purchase-return/create","Form","—","#, Barang, Satuan, Qty GR, Sudah Diretur, Qty Tersedia, Qty Retur, Catatan, Total","Tanggal, Pembelian Masuk, Catatan","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
"Operasional","Pembelian","Buat Pembelian (Form)","/purchase/create","Form","—","#, Barang (search-select), Qty, Harga Satuan, Diskon (Rp), Total, Aksi","Supplier* (search-select), Gudang Tujuan*, Tanggal Input PO* (Read-only otomatis hari ini), Deadline* (label baru pengganti jatuh tempo), Catatan, Field Diskon* (dalam Rupiah, dikurangi dari ongkir), Field Ongkir* (Rupiah), Tanda Tangan Digital Penanggung Jawab*","—","Tambah ke Keranjang, Batal, Simpan Pembelian",""""" | Poin 41, 45, 46, 60, 61: Input PO wajib menyertakan Diskon & Ongkir (Diskon dalam Rupiah, bukan persen, dikurangi dari ongkir). Selisih pembulatan packing dimasukkan ke diskon. Tanggal input read-only hari ini. Tanda tangan digital | Format Kode Universal: Tersedia versi lengkap (DL-DIV-PRD-DDMMYYYY-0001) & versi ringkas (PRD-DDMMYYYY-0001). Nomor urut akhir bersifat global & berkelanjutan (tidak reset)"
"Operasional","Pengajuan Dana","Pengajuan Dana (Fund Request)","/fund-request","Approval List / Workflow","Total Pengajuan Bulan Ini, Menunggu Approval, Sudah Dicairkan","No. Pengajuan, Pemohon, Departemen, Tujuan/Keperluan, Amount, Level Approval Saat Ini, Status, Tanggal Pengajuan, #","Filter Departemen, Filter Status","[Detail Pengajuan Dana] Data Pemohon, Jabatan/Jenjang, Keperluan, Nominal • Alur Approval Bertingkat: (Staff -> Head Divisi -> Accounting -> Direktur) ATAU (Head Divisi -> Accounting -> Direktur)","+ Buat Pengajuan, Lihat, Modal Setuju, Modal Tolak (Catatan), Cairkan Dana (Disburse)","Menggantikan Google Form. Pola UI disamakan dengan Persetujuan Pembelian. Saat Disbursed, otomatis generate Kas Bank Keluar (Dr Uang Muka Karyawan / Beban, Cr Bank) | Poin 22-24: Alur disesuaikan Google Form. Jenjang approval: Staff -> Head -> Accounting -> Direktur; jika diajukan Head -> langsung Accounting -> Direktur. Proses disamakan dengan persetujuan pembelian"
"Operasional","Pengajuan Dana","Buat Pengajuan Dana","/fund-request/create","Form","—","—","Jenjang Pengaju* (Staff / Head Divisi), Pemohon* (search-select / auto login), Departemen*, Keperluan*, Nominal*, Tanggal Dibutuhkan*, Lampiran Bukti (Upload)","—","Kembali, Submit Pengajuan","Threshold amount menentukan apakah perlu Direktur atau cukup Accounting | Poin 23: Pilihan jenjang pengaju Staff vs Head menentukan rute approval otomatis"
"Operasional","Penjualan","Collections","/collections","Monitoring & Action Tracking","Total Overdue, Invoice > 60 Hari","Invoice No, Customer, Days Overdue, Last Contact Date, Next Action Date, PIC BusDev, Status Collection, Notes, #","Filter Days Overdue (>30, >60, >90), Filter BusDev","[Detail Collection] Timeline interaksi reminder WhatsApp/Telepon/Email, Riwayat Janji Bayar, Catatan Khusus","+ Tambah Log Interaksi, Set Next Action Date, Kirim Reminder, Export Excel","Murni log pelacakan reminder, tidak menghasilkan jurnal GL"
"Operasional","Penjualan","Penjualan","/sales","List","—","#, Kode SO (Universal Global), Tanggal, Pelanggan, Kategori, Brand, Pembuat, Deadline per PIC, Grand Total, Status, #","Search/Autocomplete Detail, Filter Status, Filter Periode (Date Range Custom)","—","Riwayat, Buat",""""" | Poin 38 & 70: Ditambahkan deadline per PIC pada Sales Order. Format kode universal SO (DL-SAL-SO-... nomor urut global berlanjut tanpa reset)"
"Operasional","Penjualan","DP Penjualan","/sales-down-payment","List","Total DP Masuk, DP Belum Diapply","DP No, Customer, Kategori (Sample / Legalitas / Produksi), Date, Amount, Applied To, Remaining Balance, Status, #","Navbar tabs: Sample | Legalitas | Produksi, Filter Periode Date Range Custom, Search","[Detail DP Penjualan] Kategori Uang Muka, Rekening Bank Penerima, Alokasi Faktur Penjualan • Jurnal: Dr Bank, Cr AR Advance (khusus tab Legalitas masuk ke Client Escrow Ledger)","+ Buat, Lihat, Apply to Invoice, Cancel","Tab Legalitas terhubung ke logic Escrow 5.3. Tab Sample terhubung ke Sample Fee 3.7. Tab Produksi untuk Job Order | Poin 14: Navbar DP Penjualan dipisahkan menjadi tab Sample, Legalitas, dan Produksi"
"Operasional","Penjualan","Buat DP Penjualan","/sales-down-payment/create","Form","—","#, Tipe, Nama Item, Netto, Harga, Qty, Total","Customer* (search-select), Kategori* (Sample/Legalitas/Produksi), Date*, Amount*, Bank Account* (search-select), Note","—","Kembali, Simpan","Memiliki sub-tabel keranjang/item dinamis"
